isco08_major,isco08_major_label,n,green_share,darker_share,mean_intensity
8,"Plant and Machine Operators, and Assemblers",263,0.1901,0.1065,2.9715047404725548
7,Craft and Related Trades Workers,641,0.1778,0.0749,2.8408731789553103
9,Elementary Occupations,473,0.1564,0.074,2.4633988341926787
2,Professionals,16609,0.1071,0.0316,1.378610372702433
1,Managers,10275,0.094,0.0251,1.100511249263601
3,Technicians and Associate Professionals,6768,0.0786,0.0259,1.0281890469811148
4,Clerical Support Workers,3917,0.0503,0.0166,0.5480000547474655
5,Service and Sales Workers,899,0.0489,0.0056,0.521205069868798
