characteristic,value,n,green_share
formatted_experience_level,not stated,55825,0.091
formatted_work_type,Casual/Vacation,249,0.0803
formatted_work_type,Contract/Temp,4725,0.134
formatted_work_type,Full time,50579,0.0874
formatted_work_type,Part time,272,0.0331
remote_allowed,not stated,55825,0.091
