green_shade,n,median_wage,mean_wage,p25,p75
non-green,29383.0,82500.0,97066.0,52494.0,125000.0
lighter green,2959.0,85000.0,95809.0,55000.0,125000.0
darker green,1459.0,81000.0,91519.0,53633.0,115000.0
